,operatorId,type,organization,commercialRegisterNumber,sex,titlePrefix,firstName,lastName,titleSuffix,country,postCode,city,street,website,deviatingOperatorIds,status
0,***,ORGANIZATION,Logwin Solutions Austria GsmbH,ATU63401615,,,,,,AT,5020,Salzburg,Siezenheimerstrasse 39a,www.logwin-logistics.com,[],ACTIVE
1,000,ORGANIZATION,Marktgemeinde Reichenau i.M.,,,,,,,AT,4204,Reichenau im Mkr. ,Marktplatz 2,www.reichenau-ooe.at,[],ACTIVE
