,operatorId,organization,country
147,ECA,E-Control,AT
148,ECB,Kraftwerk Glatzing-Rüstorf eGen,AT
149,ECC,,AT
150,ECD,Terschl GmbH & CoKG,AT
151,ECE,Gemeinde St. Margarethen an der Sierning,AT
152,ECF,Wintersteller HolzBauMeister GmbH,AT
153,ECG,Logwin Solutions Austria GmbH,AT
154,ECH,Marktgemeinde Rappottenstein,AT
155,ECI,Stadtgemeinde Klosterneuburg,AT
156,ECJ,Stadtgemeinde Trofaiach,AT
157,ECK,Marktgemeinde Kreuzstetten,AT
158,ECL,Strnad GmbH ,AT
159,ECM,NOBUGS IT GmbH,AT
160,ECN,K.u.F. Drack GmbH & Co KG,AT
161,ECO,Tankstelle Bauer,AT
162,ECP,Gemeinde Langau,AT
163,ECQ,Kremser Bank und Sparkassen AG,AT
164,ECR,Hojas GmbH,AT
165,ECS,EVAB GRoßhandelsagentur e.U.,AT
166,ECT,Marktgemeinde Hofstetten-Grünau,AT
167,ECU,Tiefgarage Bahnhof Errichtungs- und Verw. GmbH,AT
168,ECV,Beyer Werbung & Druck - Christian Beyer,AT
169,ECW,Ernst Grillenberger GmbH,AT
170,ECX,Fahrschule Wolkersdorf,AT
171,ECZ,Gemeinde Inzersdorf-Getzersdorf,AT
172,EGG,Energie Graz GmbH &amp; Co KG,AT
173,EK6,Daxberger Elektrotechnik gmbH & co kg,AT
174,ELA,,AT
175,EMR,Mertest,AT
176,ENA,Energie AG,AT
177,ENC,Elektrowerk Assling reg. Gen. m. b. H.,AT
178,EPP,EPP GmbH,AT
179,EST,Energie Steiermark,AT
180,ET1,T-COM Trattner KG,AT
181,ETB,,AT
182,ETN,Eaton Industries (Austria) GmbH,AT
183,EVN,EVN AG,AT
184,EVP,Schenner GesbR (Landhotel Agathawirt),AT
185,EX1,EVN AG,AT
186,EX2,Energie Steiermark Technik GmbH,AT
187,EX3,Energie AG Oberösterreich Vertrieb GmbH,AT
188,EX4,SMATRICS GmbH & Co KG,AT
189,FIT,PremiaFIT GmbH,AT
190,FTR,futuregrid.energy Service GmbH,AT
191,GEM,Gemeinde Ottenschlag im Mühlkreis ,AT
192,HTB,,AT
193,HTP,EVU der Florian Lugitsch Gruppe GmbH,AT
194,IKB,Innsbrucker Kommunalbetriebe AG,AT
195,ION,,AT
196,ISK,Immo Bauunternehmen GmbH,AT
197,J7B,Marktgemeinde Leiben,AT
198,KDF,Gemeinde Kirchdorf am Inn,AT
199,KEE,Raiffeisenbank Weinviertel Nordost eGen,AT
200,KEL,KELAG - Kärntner Elektrizitäts-Aktiengesellschaft ,AT
201,KH1,Saint Germain - RK Holding GmbH,AT
202,KUK,Weingut K+K Kirnbauer GmbH,AT
203,KWS,KWMS GmbH,AT
204,LAG,LINZ AG ,AT
205,LDL,Lidl Österreich GmbH,AT
206,LQH,langhofer quality hosting and solutions gmbh,AT
207,MBG,,AT
208,MER,Mer Germany GmbH Zweigniederlassung Österreich,AT
209,MGB,Dr. Melany Buchberger,AT
210,MOO,Allmobil,AT
211,MTG,Hotel Brandsteatter,AT
